frage_nr,column,scale_max,midpoint_tested,n,mean,median,std,c1,c2,c3,c4,c5,k_above,k_below,ties,m_no_ties,p_value,significant
10,Frage 10 - Bitte bewerten Sie die folgenden Punkte. - Ich halte diese Vorhersage für glaubwürdig. / (Spalten 1-5),5,3,26,2.923076923076923,3.0,1.1286479317511522,3,7,6,9,1,10,10,6,20,1.0,False
11,Frage 11 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung vermittelt eine klare Einschätzung des Risikos. / (Spalten 1-5),5,3,26,2.8461538461538463,3.0,1.189699380257305,3,9,5,7,2,9,12,5,21,0.6636238098144531,False
11,Frage 11 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung gibt mir eine klare Orientierung für mein weiteres Vorgehen. / (Spalten 1-5),5,3,26,3.076923076923077,3.0,1.1635489477654792,2,8,4,10,2,12,10,4,22,0.8318119049072266,False
11,"Frage 11 - Bitte bewerten Sie die folgenden Punkte. - Ich wusste sofort, was ich auf Basis dieser Information tun sollte (den Zug nehmen oder nicht). / (Spalten 1-5)",5,3,26,3.1153846153846154,3.5,1.2434443478313961,2,9,2,10,3,13,11,2,24,0.8388197422027588,False
13,Frage 13 - Bitte bewerten Sie die folgenden Punkte. - Ich bin mit meiner Entscheidung zufrieden. / (Spalten 1-5),5,3,26,2.3461538461538463,2.0,1.0561177090573832,6,10,5,5,0,5,16,5,21,0.02660369873046875,True
13,Frage 13 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher bei meiner Entscheidung. / (Spalten 1-5),5,3,26,2.423076923076923,2.0,1.1374735838014673,5,12,3,5,1,6,17,3,23,0.03468966484069824,True
17,Frage 17 - Bitte bewerten Sie die folgenden Punkte. - Wie sicher fühlen Sie sich bei Ihrer Entscheidung? / (Spalten 1-5),5,3,26,1.7307692307692308,2.0,0.533493565673837,8,17,1,0,0,0,25,1,25,5.960464477539063e-08,True
17,"Frage 17 - Bitte bewerten Sie die folgenden Punkte. - Wie wahrscheinlich ist es Ihrer Einschätzung nach, dass der Zug mehr als 30 Minuten verspätet ankommt? / (Spalten 1-5)",5,3,26,4.5,5.0,0.7615773105863908,0,1,1,8,16,24,1,1,25,1.5497207641601562e-06,True
17,"Frage 17 - Bitte bewerten Sie die folgenden Punkte. - Wie wahrscheinlich ist es Ihrer Einschätzung nach, dass Sie mit diesem Zug pünktlich ankommen? / (Spalten 1-5)",5,3,26,2.3076923076923075,2.0,1.086985952778812,4,16,2,2,2,4,20,2,24,0.001543879508972168,True
18,"Frage 18 - Bitte bewerten Sie die folgenden Punkte. - Mir war klar, was diese Vorhersage für meine Entscheidung bedeutet. / (Spalten 1-5)",5,3,26,1.6153846153846154,2.0,0.5710988059467872,11,14,1,0,0,0,25,1,25,5.960464477539063e-08,True
18,Frage 18 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),5,3,26,1.6923076923076923,2.0,0.6176879969195302,10,14,2,0,0,0,24,2,24,1.1920928955078125e-07,True
18,Frage 18 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),5,3,26,1.7692307692307692,2.0,0.7103628541917043,9,15,1,1,0,1,24,1,25,1.5497207641601562e-06,True
19,Frage 19 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung war mental anstrengend. / (Spalten 1-5),5,3,26,4.115384615384615,4.0,0.7656068482934608,0,1,3,14,8,22,1,3,23,5.7220458984375e-06,True
19,"Frage 19 - Bitte bewerten Sie die folgenden Punkte. - Ich musste mich anstrengen, um die Darstellung zu verstehen. / (Spalten 1-5)",5,3,26,4.0,4.0,0.8,0,1,5,13,7,20,1,5,21,2.09808349609375e-05,True
20,Frage 20 - Bitte bewerten Sie die folgenden Punkte. - Ich halte diese Vorhersage für glaubwürdig. / (Spalten 1-5),5,3,26,1.9615384615384615,2.0,0.527694550342846,4,19,3,0,0,0,23,3,23,2.384185791015625e-07,True
20,Frage 20 - Bitte bewerten Sie die folgenden Punkte. - Diese Darstellung hat mir bei der Entscheidung geholfen. / (Spalten 1-5),5,3,26,1.8461538461538463,2.0,0.8338972450995479,10,11,4,1,0,1,21,4,22,1.0967254638671875e-05,True
20,Frage 20 - Bitte bewerten Sie die folgenden Punkte. - Ich würde mich im Alltag auf diese Information verlassen. / (Spalten 1-5),5,3,26,2.269230769230769,2.0,1.0023050357128735,6,11,5,4,0,4,17,5,21,0.007197380065917969,True
20,"Frage 20 - Bitte bewerten Sie die folgenden Punkte. - Ich hätte mir gewünscht, mehr Erklärungen für diese Darstellung zu erhalten. / (Spalten 1-5)",5,3,26,3.6153846153846154,4.0,1.0228166239135177,0,5,5,11,5,16,5,5,21,0.02660369873046875,True
20,Frage 20 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung wirkt professionell und seriös. / (Spalten 1-5),5,3,26,2.423076923076923,2.0,1.0265700920278917,5,10,6,5,0,5,15,6,20,0.04138946533203125,True
21,Frage 21 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung gibt mir eine klare Orientierung für mein weiteres Vorgehen. / (Spalten 1-5),5,3,26,1.9230769230769231,2.0,0.7442084075352507,7,15,3,1,0,1,22,3,23,5.7220458984375e-06,True
21,"Frage 21 - Bitte bewerten Sie die folgenden Punkte. - Ich wusste sofort, was ich auf Basis dieser Information tun sollte (den Zug nehmen oder nicht). / (Spalten 1-5)",5,3,26,2.0,2.0,0.8944271909999159,8,12,4,2,0,2,20,4,22,0.00012111663818359375,True
21,Frage 21 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung vermittelt eine klare Einschätzung des Risikos. / (Spalten 1-5),5,3,26,2.1538461538461537,2.0,1.0466062370273814,7,12,4,2,1,3,19,4,22,0.0008554458618164062,True
23,Frage 23 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher bei meiner Entscheidung. / (Spalten 1-5),5,3,26,1.8461538461538463,2.0,0.6126863923612269,7,16,3,0,0,0,23,3,23,2.384185791015625e-07,True
23,Frage 23 - Bitte bewerten Sie die folgenden Punkte. - Ich bin mit meiner Entscheidung zufrieden. / (Spalten 1-5),5,3,26,1.9230769230769231,2.0,0.9347973865208192,9,12,4,0,1,1,21,4,22,1.0967254638671875e-05,True
28,Frage 28 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),5,3,26,1.5769230769230769,1.0,0.7027418828034614,14,9,3,0,0,0,23,3,23,2.384185791015625e-07,True
28,Frage 28 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),5,3,26,1.7307692307692308,2.0,0.6667948594698256,10,13,3,0,0,0,23,3,23,2.384185791015625e-07,True
28,"Frage 28 - Bitte bewerten Sie die folgenden Punkte. - Mir war klar, was diese Vorhersage für meine Entscheidung bedeutet. / (Spalten 1-5)",5,3,26,1.7692307692307692,2.0,0.815239464584109,12,8,6,0,0,0,20,6,20,1.9073486328125e-06,True
29,Frage 29 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung war mental anstrengend. / (Spalten 1-5),5,3,26,4.384615384615385,4.0,0.6373020054525533,0,0,2,12,12,24,0,2,24,1.1920928955078125e-07,True
29,"Frage 29 - Bitte bewerten Sie die folgenden Punkte. - Ich musste mich anstrengen, um die Darstellung zu verstehen. / (Spalten 1-5)",5,3,26,4.230769230769231,4.0,0.5870395085642742,0,0,2,16,8,24,0,2,24,1.1920928955078125e-07,True
30,Frage 30 - Bitte bewerten Sie die folgenden Punkte. - Ich halte diese Vorhersage für glaubwürdig. / (Spalten 1-5),5,3,26,2.0,2.0,0.8,7,13,5,1,0,1,20,5,21,2.09808349609375e-05,True
30,Frage 30 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung wirkt professionell und seriös. / (Spalten 1-5),5,3,26,2.076923076923077,2.0,0.7961445558729606,6,13,6,1,0,1,19,6,20,4.00543212890625e-05,True
30,Frage 30 - Bitte bewerten Sie die folgenden Punkte. - Diese Darstellung hat mir bei der Entscheidung geholfen. / (Spalten 1-5),5,3,26,2.1538461538461537,2.0,0.8805592628464114,5,15,3,3,0,3,20,3,23,0.00048828125,True
30,Frage 30 - Bitte bewerten Sie die folgenden Punkte. - Ich würde mich im Alltag auf diese Information verlassen. / (Spalten 1-5),5,3,26,2.1538461538461537,2.0,0.9671528397231822,6,14,2,4,0,4,20,2,24,0.001543879508972168,True
30,"Frage 30 - Bitte bewerten Sie die folgenden Punkte. - Ich hätte mir gewünscht, mehr Erklärungen für diese Darstellung zu erhalten. / (Spalten 1-5)",5,3,26,3.3461538461538463,4.0,1.3249092857190696,2,7,3,8,6,14,9,3,23,0.4048728942871094,False
31,Frage 31 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung gibt mir eine klare Orientierung für mein weiteres Vorgehen. / (Spalten 1-5),5,3,26,2.0384615384615383,2.0,0.8708969735057864,7,13,4,2,0,2,20,4,22,0.00012111663818359375,True
31,"Frage 31 - Bitte bewerten Sie die folgenden Punkte. - Ich wusste sofort, was ich auf Basis dieser Information tun sollte (den Zug nehmen oder nicht). / (Spalten 1-5)",5,3,26,1.9615384615384615,2.0,0.9583639905910166,9,12,2,3,0,3,21,2,24,0.0002771615982055664,True
31,Frage 31 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung vermittelt eine klare Einschätzung des Risikos. / (Spalten 1-5),5,3,26,2.6153846153846154,2.0,1.2353759938390605,4,11,5,3,3,6,15,5,21,0.0783538818359375,False
33,Frage 33 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher bei meiner Entscheidung. / (Spalten 1-5),5,3,26,2.1538461538461537,2.0,0.7316998123442532,5,12,9,0,0,0,17,9,17,1.52587890625e-05,True
33,Frage 33 - Bitte bewerten Sie die folgenden Punkte. - Ich bin mit meiner Entscheidung zufrieden. / (Spalten 1-5),5,3,26,2.1538461538461537,2.0,0.7316998123442532,4,15,6,1,0,1,19,6,20,4.00543212890625e-05,True
38,Frage 38 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),5,3,26,2.0,2.0,0.6324555320336759,4,19,2,1,0,1,23,2,24,2.9802322387695312e-06,True
38,"Frage 38 - Bitte bewerten Sie die folgenden Punkte. - Mir war klar, was diese Vorhersage für meine Entscheidung bedeutet. / (Spalten 1-5)",5,3,26,2.3076923076923075,2.0,0.8375789285425354,3,15,5,3,0,3,18,5,21,0.0014896392822265625,True
38,Frage 38 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),5,3,26,2.269230769230769,2.0,0.9615692302769389,5,13,4,4,0,4,18,4,22,0.004343509674072266,True
39,Frage 39 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung war mental anstrengend. / (Spalten 1-5),5,3,26,3.6923076923076925,4.0,1.0107118588096518,0,4,6,10,6,16,4,6,20,0.01181793212890625,True
39,"Frage 39 - Bitte bewerten Sie die folgenden Punkte. - Ich musste mich anstrengen, um die Darstellung zu verstehen. / (Spalten 1-5)",5,3,26,3.5,3.5,1.0295630140987,0,5,8,8,5,13,5,8,18,0.09625244140625,False
40,Frage 40 - Bitte bewerten Sie die folgenden Punkte. - Ich halte diese Vorhersage für glaubwürdig. / (Spalten 1-5),5,3,26,2.3076923076923075,2.0,0.7358929688062399,2,16,6,2,0,2,18,6,20,0.0004024505615234375,True
40,Frage 40 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung wirkt professionell und seriös. / (Spalten 1-5),5,3,26,2.423076923076923,2.0,0.8086075400626399,2,14,7,3,0,3,16,7,19,0.004425048828125,True
40,Frage 40 - Bitte bewerten Sie die folgenden Punkte. - Diese Darstellung hat mir bei der Entscheidung geholfen. / (Spalten 1-5),5,3,26,2.4615384615384617,2.0,0.8114564304148058,2,13,8,3,0,3,15,8,18,0.007537841796875,True
40,Frage 40 - Bitte bewerten Sie die folgenden Punkte. - Ich würde mich im Alltag auf diese Information verlassen. / (Spalten 1-5),5,3,26,2.5,2.0,0.7615773105863908,1,14,8,3,0,3,15,8,18,0.007537841796875,True
40,"Frage 40 - Bitte bewerten Sie die folgenden Punkte. - Ich hätte mir gewünscht, mehr Erklärungen für diese Darstellung zu erhalten. / (Spalten 1-5)",5,3,26,3.3846153846153846,4.0,1.061203960675725,1,5,6,11,3,14,6,6,20,0.11531829833984375,False
41,Frage 41 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung gibt mir eine klare Orientierung für mein weiteres Vorgehen. / (Spalten 1-5),5,3,26,2.269230769230769,2.0,0.7243033788512826,2,17,5,2,0,2,19,5,21,0.00022125244140625,True
41,Frage 41 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung vermittelt eine klare Einschätzung des Risikos. / (Spalten 1-5),5,3,26,2.423076923076923,2.0,0.8086075400626399,3,11,10,2,0,2,14,10,16,0.004180908203125,True
41,"Frage 41 - Bitte bewerten Sie die folgenden Punkte. - Ich wusste sofort, was ich auf Basis dieser Information tun sollte (den Zug nehmen oder nicht). / (Spalten 1-5)",5,3,26,2.576923076923077,2.0,1.064822123101391,3,12,5,5,1,6,15,5,21,0.0783538818359375,False
43,Frage 43 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher bei meiner Entscheidung. / (Spalten 1-5),5,3,26,2.269230769230769,2.0,0.7775701798650618,4,12,9,1,0,1,16,9,17,0.000274658203125,True
43,Frage 43 - Bitte bewerten Sie die folgenden Punkte. - Ich bin mit meiner Entscheidung zufrieden. / (Spalten 1-5),5,3,26,2.1923076923076925,2.0,0.8494342008292706,5,13,6,2,0,2,18,6,20,0.0004024505615234375,True
48,Frage 48 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),5,3,26,2.076923076923077,2.0,0.9766504768063925,8,11,4,3,0,3,19,4,22,0.0008554458618164062,True
48,Frage 48 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),5,3,26,2.0384615384615383,2.0,1.0384900280992295,9,11,2,4,0,4,20,2,24,0.001543879508972168,True
48,"Frage 48 - Bitte bewerten Sie die folgenden Punkte. - Mir war klar, was diese Vorhersage für meine Entscheidung bedeutet. / (Spalten 1-5)",5,3,26,2.3461538461538463,2.0,1.1293292767765366,8,6,7,5,0,5,14,7,19,0.063568115234375,False
49,Frage 49 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung war mental anstrengend. / (Spalten 1-5),5,3,26,3.6538461538461537,4.0,1.2310095919141393,2,3,4,10,7,17,5,4,22,0.01690053939819336,True
49,"Frage 49 - Bitte bewerten Sie die folgenden Punkte. - Ich musste mich anstrengen, um die Darstellung zu verstehen. / (Spalten 1-5)",5,3,26,3.576923076923077,4.0,1.270372446901362,2,4,4,9,7,16,6,4,22,0.052478790283203125,False
50,Frage 50 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung wirkt professionell und seriös. / (Spalten 1-5),5,3,26,2.5,2.0,1.0677078252031311,3,14,3,5,1,6,17,3,23,0.03468966484069824,True
50,Frage 50 - Bitte bewerten Sie die folgenden Punkte. - Diese Darstellung hat mir bei der Entscheidung geholfen. / (Spalten 1-5),5,3,26,2.5384615384615383,2.0,1.1038394532093598,4,11,5,5,1,6,15,5,21,0.0783538818359375,False
50,Frage 50 - Bitte bewerten Sie die folgenden Punkte. - Ich halte diese Vorhersage für glaubwürdig. / (Spalten 1-5),5,3,26,2.6153846153846154,2.0,1.1688258408136971,3,13,3,5,2,7,16,3,23,0.0931396484375,False
50,Frage 50 - Bitte bewerten Sie die folgenden Punkte. - Ich würde mich im Alltag auf diese Information verlassen. / (Spalten 1-5),5,3,26,2.8076923076923075,3.0,1.0590271297461937,2,9,9,4,2,6,11,9,17,0.332305908203125,False
50,"Frage 50 - Bitte bewerten Sie die folgenden Punkte. - Ich hätte mir gewünscht, mehr Erklärungen für diese Darstellung zu erhalten. / (Spalten 1-5)",5,3,26,3.1153846153846154,3.0,1.2434443478313961,3,6,5,9,3,12,9,5,21,0.6636238098144531,False
51,Frage 51 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung vermittelt eine klare Einschätzung des Risikos. / (Spalten 1-5),5,3,26,2.5,2.0,1.0677078252031311,5,9,6,6,0,6,14,6,20,0.11531829833984375,False
51,"Frage 51 - Bitte bewerten Sie die folgenden Punkte. - Ich wusste sofort, was ich auf Basis dieser Information tun sollte (den Zug nehmen oder nicht). / (Spalten 1-5)",5,3,26,2.6538461538461537,3.0,1.1642098674142112,5,7,7,6,1,7,12,7,19,0.359283447265625,False
51,Frage 51 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung gibt mir eine klare Orientierung für mein weiteres Vorgehen. / (Spalten 1-5),5,3,26,2.6923076923076925,2.5,1.1582480138288438,4,9,5,7,1,8,13,5,21,0.38331031799316406,False
53,Frage 53 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher bei meiner Entscheidung. / (Spalten 1-5),5,3,26,2.5,2.5,1.0677078252031311,5,8,9,3,1,4,13,9,17,0.049041748046875,True
53,Frage 53 - Bitte bewerten Sie die folgenden Punkte. - Ich bin mit meiner Entscheidung zufrieden. / (Spalten 1-5),5,3,26,2.5384615384615383,2.5,1.1038394532093598,5,8,8,4,1,5,13,8,18,0.09625244140625,False
58,"Frage 58 - Bitte bewerten Sie die folgenden Punkte. - Mir war klar, was diese Vorhersage für meine Entscheidung bedeutet. / (Spalten 1-5)",5,3,26,2.3076923076923075,2.0,0.970329048075168,4,15,2,5,0,5,19,2,24,0.006610751152038574,True
58,Frage 58 - Bitte bewerten Sie die folgenden Punkte. - Ich habe diese Darstellung gut verstanden. / (Spalten 1-5),5,3,26,2.4615384615384617,2.0,1.066987131347674,4,12,5,4,1,5,16,5,21,0.02660369873046875,True
58,Frage 58 - Bitte bewerten Sie die folgenden Punkte. - Ich konnte die Information schnell erfassen. / (Spalten 1-5),5,3,26,2.6538461538461537,2.0,1.0933364602832083,3,11,5,6,1,7,14,5,21,0.18924713134765625,False
59,Frage 59 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung war mental anstrengend. / (Spalten 1-5),5,3,26,3.3076923076923075,4.0,1.225372784722454,2,7,1,13,3,16,9,1,25,0.2295229434967041,False
59,"Frage 59 - Bitte bewerten Sie die folgenden Punkte. - Ich musste mich anstrengen, um die Darstellung zu verstehen. / (Spalten 1-5)",5,3,26,3.0384615384615383,3.0,1.1482428046635165,1,10,5,7,3,10,11,5,21,1.0,False
60,Frage 60 - Bitte bewerten Sie die folgenden Punkte. - Ich halte diese Vorhersage für glaubwürdig. / (Spalten 1-5),5,3,26,2.3846153846153846,2.0,0.8038369524685003,2,15,6,3,0,3,17,6,20,0.0025768280029296875,True
60,Frage 60 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung wirkt professionell und seriös. / (Spalten 1-5),5,3,26,2.6153846153846154,3.0,0.8978607053178383,2,10,11,2,1,3,12,11,15,0.03515625,True
60,Frage 60 - Bitte bewerten Sie die folgenden Punkte. - Diese Darstellung hat mir bei der Entscheidung geholfen. / (Spalten 1-5),5,3,26,2.5,2.5,0.9486832980505138,4,9,9,4,0,4,13,9,17,0.049041748046875,True
60,Frage 60 - Bitte bewerten Sie die folgenden Punkte. - Ich würde mich im Alltag auf diese Information verlassen. / (Spalten 1-5),5,3,26,2.6923076923076925,2.5,0.8840466399113011,1,12,7,6,0,6,13,7,19,0.1670684814453125,False
60,"Frage 60 - Bitte bewerten Sie die folgenden Punkte. - Ich hätte mir gewünscht, mehr Erklärungen für diese Darstellung zu erhalten. / (Spalten 1-5)",5,3,26,3.1153846153846154,3.0,1.1428708790383304,2,7,5,10,2,12,9,5,21,0.6636238098144531,False
61,Frage 61 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung gibt mir eine klare Orientierung für mein weiteres Vorgehen. / (Spalten 1-5),5,3,26,2.423076923076923,2.0,0.8566482089201809,3,12,8,3,0,3,15,8,18,0.007537841796875,True
61,"Frage 61 - Bitte bewerten Sie die folgenden Punkte. - Ich wusste sofort, was ich auf Basis dieser Information tun sollte (den Zug nehmen oder nicht). / (Spalten 1-5)",5,3,26,2.5,3.0,0.9055385138137416,4,8,11,3,0,3,12,11,15,0.03515625,True
61,Frage 61 - Bitte bewerten Sie die folgenden Punkte. - Die Darstellung vermittelt eine klare Einschätzung des Risikos. / (Spalten 1-5),5,3,26,2.6538461538461537,3.0,0.9356199096773301,2,10,10,3,1,4,12,10,16,0.076812744140625,False
63,Frage 63 - Bitte bewerten Sie die folgenden Punkte. - Ich fühle mich sicher bei meiner Entscheidung. / (Spalten 1-5),5,3,26,2.423076923076923,2.0,0.9021342216356466,3,12,9,1,1,2,15,9,17,0.002349853515625,True
63,Frage 63 - Bitte bewerten Sie die folgenden Punkte. - Ich bin mit meiner Entscheidung zufrieden. / (Spalten 1-5),5,3,26,2.4615384615384617,2.0,0.9478721108153454,4,10,8,4,0,4,14,8,18,0.0308837890625,True
